device_id,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,total_messages,max_frame_count
861275072512359,-16.81764705882353,3.663130449547555,-31.0,-13.38,153.0,6.0,17.619999999999997,27.718954248366014,2.8938626443685895,23.0,35.0,0.0,12.0,3.3286928104575164,0.17577906591446016,3.08,3.51,0.0,10.954248366013072,8.333777077968723,-9.0,-81.54901960784314,15.389650134728525,-110.0,-6.372549019607843,3.7955693577151277,-20.0,309,161
861275072512375,-16.844238410596027,2.894260397657425,-31.0,-15.95,151.0,6.0,15.05,19.337748344370862,6.523687522885141,10.0,41.0,0.0,31.0,3.261258278145695,0.1121802397083171,2.91,3.43,0.0,5.19205298013245,2.193065531132406,-5.0,-87.39735099337749,1.5014635979544528,-93.0,-6.079470198675497,0.844773569725024,-10.0,311,163
861275072512383,-7.01203947368421,2.3604392168502772,-31.0,-6.67,152.0,1.0,24.33,23.263157894736842,7.0445477880285585,13.0,44.0,0.0,31.0,3.4644736842105264,0.05851121445330186,3.2,3.53,0.0,20.57236842105263,4.314770525133299,0.0,-60.88815789473684,4.437273403755099,-86.0,-2.9802631578947367,1.617251346279936,-10.0,304,158
861275072512391,-7.846577181208055,0.06337119104264073,-8.0,-7.7,149.0,0.0,0.2999999999999998,20.684563758389263,6.029305961943855,11.0,37.0,0.0,26.0,3.5174496644295306,0.035358288955485616,3.33,3.56,0.0,22.758389261744966,1.136917398835906,15.0,-49.852348993288594,2.074217009308587,-56.0,-1.2348993288590604,1.0487396666692326,-5.0,310,182
861275072512409,-7.219161290322581,3.3612675320284233,-31.0,-6.52,155.0,3.0,24.48,21.509677419354837,6.6472997563755305,10.0,38.0,0.0,28.0,3.504,0.0940475149322675,3.17,3.59,0.0,22.651612903225807,2.9664652724782474,-3.0,-46.61290322580645,6.024179738067912,-99.0,-0.8774193548387097,1.3451957993481827,-12.0,325,158
861275072512417,-30.966877682403435,0.40170850761065857,-31.0,-24.99,932.0,926.0,6.010000000000002,27.68991416309013,3.4331712867149187,16.0,37.0,0.0,21.0,3.188390557939914,0.05448702125646656,3.04,3.38,0.0,9.933476394849786,1.3520384961377145,4.0,-91.45278969957081,0.8463751905892453,-95.0,-5.786480686695279,0.7977611372239397,-10.0,1885,1002
861275072512425,-10.44970132743363,1.8247554545295777,-31.0,-10.11,904.0,7.0,20.89,20.4070796460177,6.21221198367245,11.0,43.0,0.0,32.0,3.152986725663717,0.07401577037598078,2.96,3.55,0.0,5.923672566371682,1.6915310537309207,-2.0,-91.61283185840708,1.4073415913929073,-100.0,-7.170353982300885,0.8890657848527643,-12.0,1823,901
861275072512441,-8.458079470198676,4.185629815648104,-31.0,-7.65,151.0,5.0,23.35,27.86092715231788,4.540249237063737,23.0,38.0,0.0,15.0,3.097814569536424,0.036366542127530696,2.99,3.2,0.0,7.0198675496688745,2.333724344406016,-3.0,-84.54966887417218,1.917250606891215,-91.0,-7.450331125827814,1.170121029192304,-12.0,305,159
861275072512458,-31.0,0.0,-31.0,-31.0,152.0,152.0,0.0,25.80921052631579,6.145836422560283,14.0,39.0,0.0,25.0,3.0833552631578947,0.03563880761020653,2.99,3.16,0.0,4.434210526315789,1.7134877975072782,-1.0,-110.33552631578948,2.7929525286186676,-117.0,-7.723684210526316,1.5102184764584414,-12.0,307,157
861275072512466,-8.034785714285714,0.06993797722095987,-8.17,-7.93,140.0,0.0,0.2400000000000002,32.55,4.856687149893687,26.0,43.0,0.0,17.0,3.2019285714285712,0.07496662498241369,3.1,3.46,0.0,2.8714285714285714,2.3985692892115966,-5.0,-86.13571428571429,1.3999522822582953,-90.0,-8.55,1.6807201265781555,-15.0,289,160
861275072512474,-0.9841379310344827,0.06878495280074536,-1.19,-0.88,145.0,0.0,0.30999999999999994,25.09655172413793,7.028043170370948,13.0,43.0,0.0,30.0,3.5288275862068965,0.014505911068895464,3.49,3.56,0.0,19.455172413793104,1.572238806893018,13.0,-62.262068965517244,1.2473343224161662,-66.0,-2.0482758620689654,1.095007829010309,-6.0,296,158
861275072512482,1.5,0.0,1.5,1.5,144.0,0.0,0.0,30.993055555555557,4.935240094878342,25.0,41.0,0.0,16.0,3.422916666666667,0.041993589254331797,3.29,3.47,0.0,5.25,2.493347792985009,-2.0,-74.04861111111111,1.3449197917754199,-80.0,-8.48611111111111,1.3431312497301047,-14.0,291,158
861275072512524,-4.833818181818182,11.342242983301666,-31.0,0.55,55.0,5.0,31.55,29.01818181818182,2.5054822045748164,26.0,33.0,0.0,7.0,3.4598181818181817,0.06427633943721268,3.11,3.49,0.0,14.327272727272728,3.328076663193665,8.0,-63.8,7.722981577373108,-92.0,-3.909090909090909,1.8980762900088088,-7.0,119,38
861275072512532,-14.067708333333334,0.11814841176586861,-14.28,-13.6,144.0,0.0,0.6799999999999997,21.333333333333332,5.8117315643639085,12.0,39.0,0.0,27.0,3.470902777777778,0.05514016715778106,3.19,3.54,0.0,20.75,3.946318103425849,-7.0,-54.104166666666664,7.046021294597121,-103.0,-1.2222222222222223,2.1236083701361963,-16.0,297,159
861275072512540,-1.5896363636363637,0.042705032097775764,-1.67,-1.47,110.0,0.0,0.19999999999999996,27.636363636363637,3.261471702271936,21.0,36.0,0.0,15.0,3.3969090909090913,0.08146306029008805,3.16,3.54,0.0,8.2,3.6442741314223497,-4.0,-75.72727272727273,2.6017252247539395,-84.0,-7.845454545454546,1.6095264768143167,-13.0,241,83
861275072512557,-25.020828025477705,10.134839629218543,-31.0,-7.33,157.0,116.0,23.67,21.53503184713376,4.0628533967321845,15.0,37.0,0.0,22.0,3.1368789808917197,0.03186215308096405,3.06,3.22,0.0,5.356687898089172,1.6984636302405893,-1.0,-95.4267515923567,1.5738399132419656,-102.0,-7.369426751592357,0.942491407862772,-11.0,314,163
