device_id,total_messages,max_frame_count,days_since_last_message,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_range,optical_below_threshold,temp_mean,temp_std,temp_min,temp_max,temp_range,temp_above_threshold,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min
861275072374875,1026,391,0,-25.960607966457022,9.05423197440882,-31.0,-9.36,477.0,21.64,364.0,24.07966457023061,8.556408570091957,17.0,41.0,24.0,0.0,3.185408805031446,0.0640910146401402,2.88,3.38,0.0,10.572327044025156,4.462437702171164,-7.0,-97.39203354297692,7.668511645424764,-118.0,-7.178197064989518,2.6193579821007145,-16.0
861275072374891,336,179,0,-8.566540880503144,0.0502397721990488,-8.94,-8.48,159.0,0.4599999999999991,0.0,19.76729559748428,3.738602880846893,13.0,29.0,16.0,0.0,3.237861635220126,0.1121502426950101,2.99,3.46,0.0,2.50314465408805,3.2018076655295884,-11.0,-79.45283018867924,3.789890137694173,-90.0,-8.974842767295597,2.402397761980096,-21.0
861275072374917,301,157,0,1.5,0.0,1.5,1.5,149.0,0.0,0.0,28.00671140939597,4.150051520838288,22.0,38.0,16.0,0.0,3.1208724832214765,0.0393517211050175,3.05,3.27,0.0,14.483221476510067,4.161607061671231,-1.0,-87.81879194630872,2.7755050460187007,-99.0,-5.697986577181208,2.467914914831069,-14.0
861275072374933,325,171,0,-20.00272151898734,1.99660911551834,-31.0,-19.46,158.0,11.54,5.0,19.772151898734176,4.632890905512983,12.0,39.0,27.0,0.0,3.2013291139240505,0.0736587451653722,3.0,3.37,0.0,12.886075949367088,7.794310094810674,-13.0,-86.39240506329114,11.908801777841596,-115.0,-5.582278481012659,4.1580482772683744,-19.0
861275072374958,80,46,0,-0.51425,0.035654143499991,-0.56,-0.44,40.0,0.12,0.0,28.35,4.969393503725761,23.0,39.0,16.0,0.0,3.27925,0.14711564437718,2.69,3.41,0.0,9.3,1.5884196306634224,6.0,-81.3,1.304823398994707,-84.0,-6.7,0.8227533512074425,-9.0
861275072374974,288,158,0,-7.1109929078014185,0.040076800637543,-7.19,-7.03,141.0,0.1600000000000001,0.0,31.4822695035461,5.163889504294541,26.0,42.0,16.0,0.0,3.162056737588653,0.0180680353306396,3.13,3.21,0.0,5.929078014184397,3.309392240429226,-4.0,-84.51063829787235,0.6826107579056395,-86.0,-10.00709219858156,1.3861377683575595,-14.0
861275072376318,137,46,0,-25.889285714285712,2.4309817374452263,-31.0,-23.87,56.0,7.129999999999999,10.0,23.589285714285715,6.577583932540152,14.0,38.0,24.0,0.0,3.424821428571428,0.0422972628140219,3.27,3.6,0.0,18.535714285714285,2.00874710580126,10.0,-74.83928571428571,2.0869881361712324,-82.0,-1.5535714285714286,1.043066159448677,-5.0
861275072410968,310,147,0,-5.57489932885906,0.0360295946235272,-5.69,-5.51,149.0,0.1800000000000006,0.0,23.483221476510067,9.222185373623844,9.0,49.0,40.0,0.0,3.41503355704698,0.0467110751534543,3.3,3.57,0.0,18.899328859060404,1.6633772485069993,11.0,-72.8255033557047,1.2613353264425415,-76.0,-1.8791946308724832,1.5549083212648085,-7.0
861275072426444,287,157,0,-0.9440845070422536,0.0148350232320099,-0.97,-0.91,142.0,0.0599999999999999,0.0,29.8943661971831,7.288101394455936,18.0,48.0,30.0,0.0,3.486267605633803,0.0327597996800561,3.4,3.55,0.0,22.211267605633804,1.023351370336755,18.0,-67.52816901408451,2.068657227044802,-75.0,-1.147887323943662,1.154376090113976,-10.0
861275072426675,24,3,0,-22.12,12.558216433873085,-31.0,-13.24,2.0,17.759999999999998,1.0,24.5,0.7071067811865476,24.0,25.0,1.0,0.0,3.06,0.0282842712474619,3.04,3.08,0.0,12.5,0.7071067811865476,12.0,-111.0,0.0,-111.0,-6.0,1.4142135623730951,-7.0
