device_id,total_messages,max_frame_count,msg6_count,msg6_rate,is_critical,severity_category,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,is_critical_target
861275072309962,1445,342.0,15.0,0.0103806228373702,0,healthy,-9.811878612716765,0.0280416736462057,-9.88,-9.75,692,0,0.1300000000000007,15.478323699421964,5.872089894831574,0.0,36.0,0,36.0,3.3137283236994217,0.1756475755681662,2.77,3.55,0,2.4046242774566475,2.149514535543433,-9.0,-74.9971098265896,1.809283912866128,-82.0,-9.364161849710984,1.6583041980077098,-16.0,0
861275072309988,2520,617.0,15.0,0.0059523809523809,0,healthy,-7.374480784955028,0.3019649849343271,-11.58,-6.65,1223,0,4.93,15.9329517579722,1.5475290594940376,10.0,24.0,0,14.0,3.4014636140637773,0.0740210531538477,2.88,3.57,0,21.32624693376942,0.8054781104642058,14.0,-71.39983646770237,1.4835375864093605,-75.0,-1.991005723630417,1.7383940759052123,-11.0,0
861275072310010,220,80.0,6.0,0.0272727272727272,0,healthy,-6.5213636363636365,0.0380617108772153,-6.61,-6.43,88,0,0.1800000000000006,20.227272727272727,6.682843487183443,12.0,37.0,0,25.0,3.2454545454545456,0.2503556508911361,2.79,3.56,0,11.397727272727272,8.937252236227883,-9.0,-78.14772727272727,9.66274962976499,-94.0,-5.511363636363637,3.450784745605202,-14.0,0
861275072310069,13,4.0,0.0,0.0,0,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072310085,996,387.0,72.0,0.072289156626506,0,unstable,-8.552147651006711,0.0576897970134015,-9.24,-8.44,447,0,0.8000000000000007,26.516778523489933,1.263158686736757,25.0,30.0,0,5.0,3.1536241610738256,0.0451536703279102,2.97,3.54,0,1.3243847874720358,2.8996536849876104,-22.0,-111.93288590604028,3.5428151815639817,-137.0,-10.503355704697986,2.6784913791643503,-32.0,0
861275072310101,1565,501.0,9.0,0.0057507987220447,0,healthy,-13.56420634920635,0.1388229794207867,-14.2,-13.02,756,0,1.1799999999999995,16.46825396825397,4.3938907158498965,1.0,31.0,0,30.0,3.4919708994709,0.0464182448685138,2.95,3.55,0,20.173280423280424,0.814032773922661,17.0,-50.75661375661376,1.0803586179291185,-56.0,-1.5145502645502646,1.2009047070233858,-10.0,0
861275072310119,1219,388.0,36.0,0.0295324036095159,0,healthy,-10.005078809106829,0.0539894637802691,-10.17,-9.86,571,0,0.3100000000000005,19.36077057793345,3.2024336307804826,13.0,29.0,0,16.0,3.07553415061296,0.0544302560995073,2.9,3.57,0,5.810858143607706,4.719792717629167,-9.0,-100.69352014010508,10.785090913289812,-123.0,-9.014010507880911,1.9849821758610036,-17.0,0
861275072310168,261,66.0,39.0,0.1494252873563218,0,unstable,-8.627613636363636,0.020341584053295,-8.68,-8.58,88,0,0.0999999999999996,22.15909090909091,6.714003830793993,14.0,44.0,0,30.0,3.2920454545454545,0.1623191059703367,2.8,3.57,0,18.71590909090909,4.220772015334831,-7.0,-77.77272727272727,5.438744092534158,-111.0,-2.647727272727273,2.259283645634509,-16.0,0
861275072310218,1460,364.0,102.0,0.0698630136986301,0,unstable,-12.84744680851064,5.737165984366661,-31.0,-6.73,658,1,24.27,24.99392097264438,5.443493551525116,14.0,39.0,0,25.0,3.450197568389058,0.0761744604598298,2.91,3.58,0,9.656534954407295,3.416402573532345,-3.0,-74.03951367781156,2.634212512728912,-85.0,-6.717325227963526,1.5346939032139184,-13.0,0
861275072310226,1096,347.0,9.0,0.0082116788321167,0,healthy,0.963249027237354,0.0347722785251082,0.84,1.02,514,0,0.18,26.08171206225681,10.696100480276993,11.0,53.0,0,42.0,3.476945525291829,0.0563389988968751,2.96,3.6,0,21.57782101167315,1.4625854697759553,9.0,-76.05252918287938,2.2897269141214127,-99.0,-1.6186770428015564,1.3371733449200698,-10.0,0
