device_id,total_messages,max_frame_count,msg6_count,msg6_rate,is_critical,severity_category,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,is_critical_target
861275072309145,730,170.0,204.0,0.27945205479452057,True,critical,-5.622642276422765,2.302931036141946,-31.0,-5.27,246,1,25.73,15.390243902439025,4.580587514837495,3.0,29.0,0,26.0,3.45109756097561,0.043255466024141494,3.12,3.54,0,11.105691056910569,3.1566269989162548,1.0,-68.27642276422765,1.4130633274838253,-74.0,-7.004065040650406,1.3139688048969211,-11.0,1
861275072309152,16,5.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072309178,14,4.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072309194,1068,359.0,15.0,0.014044943820224719,False,healthy,-3.422755905511811,2.128450159696534,-31.0,-3.14,508,1,27.86,23.22244094488189,6.020979785743513,11.0,40.0,0,29.0,3.1327559055118113,0.10875793047130544,2.89,3.59,0,4.09251968503937,2.952834887925736,-3.0,-93.4724409448819,2.155042787197414,-99.0,-9.423228346456693,1.3688604407809197,-15.0,0
861275072309210,1228,271.0,108.0,0.08794788273615635,False,unstable,-5.114721189591077,0.05887220921263719,-5.24,-4.96,538,0,0.28000000000000025,17.71003717472119,5.3723143304268515,1.0,35.0,0,34.0,3.4026951672862453,0.14313978535560334,2.68,3.55,0,2.5,2.5341246436387466,-11.0,-72.9182156133829,2.0724321065129874,-81.0,-8.345724907063197,1.5888901806354137,-16.0,0
861275072309277,75,31.0,12.0,0.16,False,unstable,-7.0600000000000005,0.09665845613735587,-7.21,-6.91,15,0,0.2999999999999998,17.933333333333334,3.9725246860091854,14.0,26.0,0,12.0,2.958666666666667,0.04103424818136089,2.89,3.04,0,2.533333333333333,2.133630931623591,-2.0,-107.66666666666667,1.9518001458970655,-111.0,-9.2,1.6987390281365429,-13.0,0
861275072309293,14,3.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072309418,799,335.0,54.0,0.06758448060075094,False,unstable,-7.74484240687679,7.399621052026843,-31.0,-5.22,349,1,25.78,17.664756446991404,6.6884220825901295,0.0,35.0,0,35.0,3.0286246418338107,0.0856338742876783,2.81,3.51,0,-1.5759312320916905,2.866391571110888,-9.0,-93.48710601719198,2.6766293657726656,-105.0,-12.449856733524355,2.440305999300157,-29.0,0
861275072309962,1445,342.0,15.0,0.010380622837370242,False,healthy,-9.811878612716763,0.028041673646205714,-9.88,-9.75,692,0,0.13000000000000078,15.478323699421965,5.872089894831574,0.0,36.0,0,36.0,3.3137283236994217,0.17564757556816624,2.77,3.55,0,2.4046242774566475,2.1495145355434335,-9.0,-74.9971098265896,1.809283912866128,-82.0,-9.364161849710984,1.6583041980077098,-16.0,0
861275072309988,2520,617.0,15.0,0.005952380952380952,False,healthy,-7.374480784955028,0.3019649849343271,-11.58,-6.65,1223,0,4.93,15.9329517579722,1.5475290594940376,10.0,24.0,0,14.0,3.4014636140637773,0.07402105315384772,2.88,3.57,0,21.32624693376942,0.8054781104642058,14.0,-71.39983646770237,1.4835375864093603,-75.0,-1.991005723630417,1.7383940759052123,-11.0,0
861275072310010,220,80.0,6.0,0.02727272727272727,False,healthy,-6.5213636363636365,0.03806171087721538,-6.61,-6.43,88,0,0.1800000000000006,20.227272727272727,6.682843487183443,12.0,37.0,0,25.0,3.2454545454545456,0.25035565089113615,2.79,3.56,0,11.397727272727273,8.937252236227883,-9.0,-78.14772727272727,9.66274962976499,-94.0,-5.511363636363637,3.450784745605202,-14.0,0
861275072310028,162,46.0,0.0,0.0,False,,-8.424117647058823,0.09134542108168432,-8.62,-8.26,68,0,0.35999999999999943,20.926470588235293,7.197255232359003,14.0,47.0,0,33.0,3.405,0.061970142064244886,3.29,3.57,0,22.470588235294116,1.2633831415083796,16.0,-65.13235294117646,0.5155611857577032,-67.0,-1.8676470588235294,1.3919213797139023,-5.0,0
861275072310044,1500,706.0,6.0,0.004,False,healthy,-27.482257425742574,7.9656019196001155,-31.0,-9.12,505,1,21.880000000000003,24.053465346534654,5.294793121332076,14.0,39.0,0,25.0,3.475207920792079,0.05710966838330342,3.0,3.58,0,20.6990099009901,2.0257516266017297,2.0,-74.29306930693069,3.0636844138467225,-108.0,-1.4356435643564356,1.4324460264642789,-12.0,0
861275072310069,13,4.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,0
861275072310085,996,387.0,72.0,0.07228915662650602,False,unstable,-8.552147651006711,0.05768979701340154,-9.24,-8.44,447,0,0.8000000000000007,26.516778523489933,1.263158686736757,25.0,30.0,0,5.0,3.1536241610738256,0.04515367032791027,2.97,3.54,0,1.3243847874720358,2.8996536849876104,-22.0,-111.93288590604027,3.5428151815639817,-137.0,-10.503355704697986,2.6784913791643503,-32.0,0
861275072310101,1565,501.0,9.0,0.005750798722044728,False,healthy,-13.56420634920635,0.13882297942078678,-14.2,-13.02,756,0,1.1799999999999997,16.46825396825397,4.3938907158498965,1.0,31.0,0,30.0,3.4919708994708993,0.04641824486851384,2.95,3.55,0,20.173280423280424,0.814032773922661,17.0,-50.75661375661376,1.0803586179291185,-56.0,-1.5145502645502646,1.2009047070233858,-10.0,0
861275072310119,1219,388.0,36.0,0.029532403609515995,False,healthy,-10.005078809106829,0.05398946378026919,-10.17,-9.86,571,0,0.3100000000000005,19.36077057793345,3.2024336307804826,13.0,29.0,0,16.0,3.0755341506129596,0.05443025609950739,2.9,3.57,0,5.810858143607706,4.719792717629167,-9.0,-100.69352014010508,10.785090913289812,-123.0,-9.014010507880911,1.9849821758610033,-17.0,0
861275072310168,261,66.0,39.0,0.14942528735632185,False,unstable,-8.627613636363636,0.020341584053295066,-8.68,-8.58,88,0,0.09999999999999964,22.15909090909091,6.714003830793993,14.0,44.0,0,30.0,3.2920454545454545,0.16231910597033677,2.8,3.57,0,18.71590909090909,4.2207720153348305,-7.0,-77.77272727272727,5.438744092534158,-111.0,-2.647727272727273,2.259283645634509,-16.0,0
