device_id,total_messages,max_frame_count,msg6_count,msg6_rate,is_critical,severity_category,optical_mean,optical_std,optical_min,optical_max,optical_readings,optical_below_threshold,optical_range,temp_mean,temp_std,temp_min,temp_max,temp_above_threshold,temp_range,battery_mean,battery_std,battery_min,battery_max,battery_below_threshold,snr_mean,snr_std,snr_min,rsrp_mean,rsrp_std,rsrp_min,rsrq_mean,rsrq_std,rsrq_min,rssi_mean,rssi_std,rssi_min,is_critical_target
861275072310226,388,177.0,0.0,0.0,False,,0.9287349397590361,0.024989008171399707,0.84,0.99,166,0,0.15000000000000002,25.58433734939759,12.766983763078803,11.0,53.0,0,42.0,3.4730722891566264,0.04873758630014772,3.38,3.58,0,21.867469879518072,0.9181151223431285,17.0,-74.71084337349397,0.5286946872148082,-76.0,-1.6566265060240963,1.378245944633697,-6.0,-73.05421686746988,1.4195860433597003,-75.0,0
861275072310234,495,239.0,27.0,0.05454545454545454,False,unstable,-3.8417924528301888,0.06801584941875068,-4.28,-3.74,212,0,0.54,17.004716981132077,4.852807504714619,4.0,31.0,0,27.0,3.430235849056604,0.04168763370042843,3.32,3.52,0,20.462264150943398,1.4935851984602249,11.0,-57.89622641509434,2.078685536551321,-63.0,-2.141509433962264,1.3764345674219278,-11.0,-55.75471698113208,2.2342076460742475,-61.0,0
861275072310242,1355,615.0,33.0,0.024354243542435424,False,healthy,-15.207185534591195,2.5480366572064046,-31.0,-14.48,636,1,16.52,17.32861635220126,4.540685574236412,0.0,29.0,0,29.0,3.0527830188679244,0.10525240795572512,2.73,3.51,0,-2.4544025157232703,3.1597063735195077,-11.0,-89.71069182389937,4.109671193161507,-97.0,-9.839622641509434,3.6615993040849673,-18.0,-79.87106918238993,1.3823565825033788,-83.0,0
861275072310259,14,3.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072310267,17,4.0,3.0,0.17647058823529413,False,unstable,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072310283,611,182.0,132.0,0.2160392798690671,True,unstable,-4.513066666666667,5.807710462947391,-31.0,0.23,225,1,31.23,20.893333333333334,7.402774576371443,8.0,37.0,0,29.0,3.1548444444444446,0.07299154658599777,2.93,3.57,0,-3.8,2.4053511772118186,-8.0,-105.64444444444445,4.4679191563077305,-112.0,-14.231111111111112,1.7803267936150073,-18.0,-91.41333333333333,3.361122261558314,-97.0,0
861275072310291,394,142.0,3.0,0.007614213197969543,False,healthy,-13.573563218390806,6.152222771775464,-31.0,1.46,174,1,32.46,22.620689655172413,1.8325343600014743,18.0,31.0,0,13.0,3.0236781609195402,0.06186158224979292,2.87,3.52,0,10.729885057471265,1.9888483868276603,6.0,-101.08045977011494,2.31465994358601,-104.0,-5.833333333333333,0.9254483889534684,-8.0,-95.24712643678161,1.7997648581453536,-98.0,0
861275072310366,13,3.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
861275072310374,4595,885.0,12.0,0.0026115342763873774,False,healthy,-10.85603076923077,0.42766154443697296,-31.0,-10.77,2275,1,20.23,32.42197802197802,4.5756083984400995,9.0,44.0,0,35.0,3.208303296703297,0.2549028914077957,2.14,3.57,1,0.28175824175824177,1.1266330797205297,-1.0,-87.3974358974359,1.435402549717431,-92.0,-6.814102564102564,0.8710726585707488,-10.0,-79.83384615384615,2.2598551729882774,-87.0,0
861275072310382,13,3.0,0.0,0.0,False,,,,,,0,0,,,,,,0,,,,,,0,,,,,,,,,,,,,0
